# Canonical icon catalog for terminal UIs
# `name` is short and stable; `alias` is an optional qualified compatibility key.
# New rows may leave `alias` empty. Escapes: \s = space (U+0020), \\ = literal backslash.
name	alias	ascii	unicode	nerd_font
abacus	object.abacus	abacus	🧮	󱛠
aborted	status.aborted	[-]	⏹	
add	action.add	+	✚	
added	status.added	+	✚	
adhesive-bandage	object.adhesiveBandage	bandg	🩹	
admin	user.admin	admin	👑	
admission-ticket	object.admissionTicket	tkt	🎟	
advisor	icon.advisor	(adv)	👁	
advisor-closed	icon.advisorClosed	(adv)	🙈	
agents	icon.agents	AG	👥	
airplane	object.airplane	plane	✈	
airplane-arrival	object.airplaneArrival	<fly	🛬	
airplane-departure	object.airplaneDeparture	fly>	🛫	
alarm-clock-alert	object.alarmClockAlert	alarm	⏰	󰥕
alien	object.alien	alien	👽	󰢚
alien-invader	object.alienInvader	alien	👾	󰯉
ambulance	object.ambulance	ambul	🚑	
american-football	object.americanFootball	footbl	🏈	
anchor	object.anchor	anchor	⚓	
angry-face	status.angryFace	>:[	😠	
appearance	tab.appearance	[A]	🎨	󰃣
aquarius	object.aquarius	aquar	♒	󰩽
archive	lang.archive	zip	🗜	
archive-file	file.archive	[zip]	🗜	
archived	status.archived	[arc]	📦	
aries	object.aries	Aries	♈	󰩾
ascii-left	sep.asciiLeft	>	>	>
ascii-right	sep.asciiRight	<	<	<
asia-australia-globe	object.asiaAustraliaGlobe	earth	🌏	
ask	tool.ask	[?]	?	
atm	device.atm	ATM	🏧	󰵇
atom	object.atom	atom	⚛	
audio	file.audio	[mp3]	🎵	
auto	icon.auto	[A]	⟲	󰁨
auto-pending	thinking.autoPending	[~]	⟳	
auto-rickshaw	object.autoRickshaw	tuk	🛺	󱖻
automobile	object.automobile	car	🚗	
axe	object.axe	axe	🪓	󰣈
baby-bottle	object.babyBottle	bottle	🍼	󰼹
back	nav.back	<-	⟵	
bacon	object.bacon	bacon	🥓	
badminton	object.badminton	baddy	🏸	󰡑
baguette	object.baguette	bread	🥖	󰼾
ballet-shoes	object.balletShoes	ballet	🩰	󱗊
balloon	object.balloon	baloon	🎈	󰨦
ballot-box	object.ballotBox	vote	🗳	󰧉
banana	object.banana	banana	🍌	
bank	object.bank	bank	🏦	
baseball	object.baseball	ball	⚾	
bash	tool.bash	$	❯	
basket	object.basket	basket	🧺	󰁶
basketball	object.basketball	ball	🏀	
bat	object.bat	bat	🦇	󰭟
bathtub	object.bathtub	tub	🛁	
battery	device.battery	bat	🔋	
beach-umbrella	object.beachUmbrella	beach	🏖	
beaming-face	status.beamingFace	:D	😁	
beans-coffee	object.beansCoffee	beans	🫘	
bear-teddy	object.bearTeddy	bear	🐻	󱣻
beating-heart	status.beatingHeart	<3!	💓	
bed-classic	object.bedClassic	bed	🛏	
beer-mug	object.beerMug	beer	🍺	
bell	comm.bell	bell	🔔	
bell-off	comm.bellOff	bell-off	🔕	
bicycle	object.bicycle	bike	🚲	
binary	lang.binary	bin	⚙	󰆚
biohazard	security.biohazard	bio	☣	
biometric-fingerprint	security.biometricFingerprint	finger	🫆	
bird	object.bird	bird	🐦	󱗆
birthday-cake	object.birthdayCake	cake	🎂	
biting-lip	status.bitingLip	lip	🫦	
black-bird-crow	object.blackBirdCrow	crow	🐦‍⬛	
black-cat	object.blackCat	cat	🐈‍⬛	
black-circle	object.blackCircle	(o)	⚫	
black-flag	object.blackFlag	flag	🏴	
black-medium-square	object.blackMediumSquare	[#]	◼	󰨓
black-pen-nib	object.blackPenNib	nib	✒	
black-small-square	object.blackSmallSquare	[#]	▪	󰨕
block	sep.block	#	▌	█
blocked	status.blocked	[X]	🚫	
blood-drop	object.bloodDrop	blood	🩸	
blue-circle-large	object.blueCircleLarge	(blue)	🔵	
bluetooth	device.bluetooth	bt	ᛒ	
boar-pig	object.boarPig	boar	🐗	󰐁
bolt	object.bolt	bolt	⚡	
bomb	object.bomb	bomb	💣	
bone	object.bone	bone	🦴	
book	object.book	book	📖	
bookmark	object.bookmark	bm	🔖	
boomerang	object.boomerang	boom	🪃	󱃏
bow-arrow	object.bowArrow	bow	🏹	󱡁
bowl-with-spoon	object.bowlWithSpoon	bowl	🥣	󰊎
bowling	object.bowling	bowl	🎳	󰃓
boxing-glove	object.boxingGlove	box	🥊	󰭥
bracket-left	format.bracketLeft	[	⟦	⟨
bracket-right	format.bracketRight	]	⟧	⟩
branch	icon.branch	@	⑂	
bread	object.bread	bread	🍞	
bridge-at-night	object.bridgeAtNight	bridge	🌉	󰘘
bright-button-five	status.brightButtonFive	(*)	🔆	󰃞
broadcast	comm.broadcast	bcast	📡	
broken-chain	object.brokenChain	-/ -	⛓️‍💥	
broken-heart	object.brokenHeart	</3	💔	󰋔
bronze-medal	object.bronzeMedal	3rd	🥉	
broom	object.broom	broom	🧹	
brown-circle	object.brownCircle	(o)	🟤	
brown-mushroom	object.brownMushroom	shroom	🍄‍🟫	󰟟
brown-square	object.brownSquare	[brn]	🟫	
browser	tool.browser	[w]	🌐	
bubble-tea	object.bubbleTea	boba	🧋	󰶞
bubbles-thought-outline	object.bubblesThoughtOutline	ooo	🫧	󰟷
bucket	object.bucket	buck	🪣	󱐕
bug	object.bug	bug	🐛	
bullet	format.bullet	*	•	
bus	object.bus	bus	🚌	
bus-stop	object.busStop	stop	🚏	󱀒
butterfly	object.butterfly	fly	🦋	󱖉
c	lang.c	c	Ⓒ	
cache	icon.cache	cache	💾	
cache-miss	icon.cacheMiss	!	⊘	
cactus	object.cactus	cactus	🌵	󰶵
calendar	object.calendar	cal	📅	
call-me-hand	comm.callMeHand	call	🤙	
camera	icon.camera	[o]	📷	
camera-flash-device	object.cameraFlashDevice	flash	📸	
camera-object	object.camera	cam	📷	
campground	object.campground	camp	🏕	
cancel	action.cancel	[x]	🚫	
cancellable	action.cancellable	esc	⎋	󱊷
cancelled	status.cancelled	[x]	⊘	
candle	object.candle	candle	🕯	󰗢
candy	object.candy	candy	🍬	󱥰
capricorn	object.capricorn	Cap	♑	󰪀
card-bullet	format.cardBullet	*	•	•
card-file-word-box	file.cardFileWordBox	cards	🗃	󰈭
card-index-card	object.cardIndexCard	card	📇	󰭯
carousel-horse	object.carouselHorse	ride	🎠	
carrot	object.carrot	carrot	🥕	
cart	object.cart	cart	🛒	
castle	object.castle	castle	🏰	󰄚
cat	object.cat	cat	🐈	
cat-face	object.catFace	cat	🐱	
chair	object.chair	chair	🪑	
changed	status.changed	~	Δ	
chart	object.chart	chart	📈	
chart-bar	object.chartBar	bar	📊	
chart-decreasing	object.chartDecreasing	down	📉	󰔳
chart-pie	object.chartPie	pie	🥧	
chat	comm.chat	chat	💬	
check-button	status.checkButton	[ok]	✅	
checked	checkbox.checked	[x]	☑	
checkered-flag	object.checkeredFlag	finish	🏁	
cheese	object.cheese	cheese	🧀	
cherries	object.cherries	cherry	🍒	󱁂
cherry-blossom	object.cherryBlossom	bloom	🌸	
chess-pawn	object.chessPawn	pawn	♟	
chicken-thigh	object.chickenThigh	chick	🐔	
christmas-family-tree	object.christmasFamilyTree	Xmas	🎄	󱘎
church	object.church	church	⛪	
cigarette	object.cigarette	smoke	🚬	
cinema	object.cinema	film	🎦	
circus-tent	object.circusTent	tent	🎪	󰔈
cityscape-dusk	object.cityscapeDusk	dusk	🌆	
clapping-hands	action.clappingHands	clap	👏	󱥋
clinking-beer-mugs	object.clinkingBeerMugs	beer	🍻	
clipboard	object.clipboard	clip	📋	
clock	object.clock	clock	🕒	
clockwise-arrows	object.clockwiseArrows	<->	🔃	
clone	git.clone	clone	👥	
close	action.close	x	✕	
closed-mailbox	comm.closedMailbox	mail	📪	󰛮
closed-umbrella	object.closedUmbrella	umb	🌂	󰦰
cloud	device.cloud	cloud	☁	
coat-rack	object.coatRack	coat	🧥	󱂞
cockroach	object.cockroach	roach	🪳	
